"they"	PV/ka+{{ lemma }}+V+AI+Cnj+Prs+3Pl	PV/ta+{{ lemma }}+V+AI+Cnj+Prs+3Pl
"s/he/they (further)"	PV/ka+{{ lemma }}+V+AI+Cnj+Prs+4Sg/Pl	PV/ta+{{ lemma }}+V+AI+Cnj+Prs+4Sg/Pl
		
	"When something happens"	
"I"	{{ lemma }}+V+AI+Fut+Cond+1Sg	
"you (one)"	{{ lemma }}+V+AI+Fut+Cond+2Sg	
"s/he"	{{ lemma }}+V+AI+Fut+Cond+3Sg	
"we"	{{ lemma }}+V+AI+Fut+Cond+1Pl	
"you and we"	{{ lemma }}+V+AI+Fut+Cond+12Pl	
"you (all)"	{{ lemma }}+V+AI+Fut+Cond+2Pl	
"they"	{{ lemma }}+V+AI+Fut+Cond+3Pl	
"s/he/they (further)"	{{ lemma }}+V+AI+Fut+Cond+4Sg/Pl	
		
	"Command/Request"	
	: "Right now"	: "Later on"
"you (one)"	{{ lemma }}+V+AI+Imp+Imm+2Sg	{{ lemma }}+V+AI+Imp+Del+2Sg
"you and we"	{{ lemma }}+V+AI+Imp+Imm+12Pl	{{ lemma }}+V+AI+Imp+Del+12Pl
"you (all)"	{{ lemma }}+V+AI+Imp+Imm+2Pl	{{ lemma }}+V+AI+Imp+Del+2Pl
