"they"	PV/ka+{{ lemma }}+V+TI+Cnj+Prs+3Pl	PV/ta+{{ lemma }}+V+TI+Cnj+Prs+3Pl
"s/he/they (further)"	PV/ka+{{ lemma }}+V+TI+Cnj+Prs+4Sg/Pl	PV/ta+{{ lemma }}+V+TI+Cnj+Prs+4Sg/Pl
		
	"When something happens"	
"I"	{{ lemma }}+V+TI+Fut+Cond+1Sg	
"you (one)"	{{ lemma }}+V+TI+Fut+Cond+2Sg	
"s/he"	{{ lemma }}+V+TI+Fut+Cond+3Sg	
"we"	{{ lemma }}+V+TI+Fut+Cond+1Pl	
"you and we"	{{ lemma }}+V+TI+Fut+Cond+12Pl	
"you (all)"	{{ lemma }}+V+TI+Fut+Cond+2Pl	
"they"	{{ lemma }}+V+TI+Fut+Cond+3Pl	
"s/he/they (further)"	{{ lemma }}+V+TI+Fut+Cond+4Sg/Pl	
		
	"Command/Request"	
	: "Right now"	: "Later on"
"you (one)"	{{ lemma }}+V+TI+Imp+Imm+2Sg	{{ lemma }}+V+TI+Imp+Del+2Sg
"you and we"	{{ lemma }}+V+TI+Imp+Imm+12Pl	{{ lemma }}+V+TI+Imp+Del+12Pl
"you (all)"	{{ lemma }}+V+TI+Imp+Imm+2Pl	{{ lemma }}+V+TI+Imp+Del+2Pl
