FST TAG	LINGUISTIC (SHORT)	LINGUISTIC (LONG)	ENGLISH	NÊHIYAWÊWIN	EMOJI	LINK
0Pl+Obv+Prs	0p'	Actor: Inanimate Plural Obviative	they (further)	nîhi		
						
0Sg+Prt	0	Impersonal / Actor: Existential / Inanimate Singular	it / there was	ôma		
0Pl+Prt	0p	Actor: Existential / Inanimate Plural	they / there were	ôhi		
0Sg+Obv+Prt	0'	Actor: Inanimate Singular Obviative	it (further)	nîma		
0Pl+Obv+Prt	0p'	Actor: Inanimate Plural Obviative	they (further)	nîhi		
						
0Sg+Fut+Def	0	Impersonal / Actor: Existential / Inanimate Singular	it / there will be	ôma		
0Pl+Fut+Def	0p	Actor: Existential / Inanimate Plural	they / there will be	ôhi		
0Sg+Obv+Fut+Def	0'	Actor: Inanimate Singular Obviative	it (further)	nîma		
0Pl+Obv+Fut+Def	0p'	Actor: Inanimate Plural Obviative	they (further)	nîhi		
						
0Sg+Fut+Int	0	Impersonal / Actor: Existential / Inanimate Singular	it / there is going to be	ôma		
0Pl+Fut+Int	0p	Actor: Existential / Inanimate Plural	they / there is going to be	ôhi		
0Sg+Obv+Fut+Int	0'	Actor: Inanimate Singular Obviative	it (further)	nîma		
0Pl+Obv+Fut+Int	0p'	Actor: Inanimate Plural Obviative	they (further)	nîhi		
						
0Sg+Fut+Cond	0	Impersonal / Actor: Existential / Inanimate Singular	it / when there is	ôma		
0Pl+Fut+Cond	0p	Actor: Existential / Inanimate Plural	they / when there is	ôhi		
0Sg+Obv+Fut+Cond	0'	Actor: Inanimate Singular Obviative	it (further)	nîma		
0Pl+Obv+Fut+Cond	0p'	Actor: Inanimate Plural Obviative	they (further)	nîhi		
						
0Sg+Inf+PV/ka	0	Impersonal / Actor: Existential / Inanimate Singular	it / for there to be	ôma		
0Pl+Inf+PV/ka	0p	Actor: Existential / Inanimate Plural	they / for there to be	ôhi		
0Sg+Obv+Inf+PV/ka	0'	Actor: Inanimate Singular Obviative	it (further)	nîma		
0Pl+Obv+Inf+PV/ka	0p'	Actor: Inanimate Plural Obviative	they (further)	nîhi		
						
0Sg+Inf+PV/ta	0	Impersonal / Actor: Existential / Inanimate Singular	it / for there to be	ôma		
0Pl+Inf+Pv/ta	0p	Actor: Existential / Inanimate Plural	they / for there to be	ôhi		
0Sg+Obv+Inf+PV/ta	0'	Actor: Inanimate Singular Obviative	it (further)	nîma		
0Pl+Obv+Inf+PV/ta	0p'	Actor: Inanimate Plural Obviative	they (further)	nîhi		
						
Inf+PV/ka	Conjunct (ka-)	Infinitive / Irrealis (with ka-)	ka- word	ka- itwîwin		
Inf+PV/ta	Conjunct (ta-)	Infinitive / Irrealis (with ta-)	ta- word	ta- itwîwin		
						
						
						
1Sg+2SgO	1s → 2s	Actor: 1st Person Singular → Goal: 2nd Person Singular	I → you (one)	nitha → kitha		
1Sg+3SgO	1s → 3s	Actor: 1st Person Singular → Goal: 3rd Person Singular	I → him/her	nitha → witha		
1Sg+1PlO	1s → 1p (excl)	Actor: 1st Person Singular → Goal: 1st Person Plural (Exclusive)	I → we (but not you)	nitha → nithanân		
1Sg+12PlO	1s → 21p (incl)	Actor: 1st Person Singular → Goal: 1st Person Plural (Inclusive)	I → you and us	nitha → kithânaw		
1Sg+2PlO	1s → 2p (excl)	Actor: 1st Person Singular → Goal: 2nd Person Plural	I → you (all)	nitha → kithâwaw		
1Sg+3PlO	1s → 3p	Actor: 1st Person Singular → Goal: 3rd Person Plural	I → them	nitha → withawâw		
1Sg+4Sg/PlO	1s → 4	Actor: 1st Person Singular → Goal: 3rd Person Singular/Plural (Obviative)	I → another/others	nitha → kotaka/anihi/awitha		
1Sg+5Sg/PlO	1s → 5	Actor: 1st Person Singular → Goal: 3rd Person Singular/Plural (Further Obviative)	I → yet another/others	kotaka/nîhi/awitha		
						
2Sg+1SgO	2s → 1s	Actor: 2nd Person Singular → Goal: 1st Person Singular	you (one) → me	kitha → nitha		
2Sg+3SgO	2s → 3s	Actor: 2nd Person Singular → Goal: 3rd Person Singular	you (one) → him/her	kitha → witha		
2Sg+1PlO	2s → 1p (excl)	Actor: 2nd Person Singular → Goal: 1st Person Plural (Exclusive)	you (one) → we (but not you)	kitha → nithanân		
2Sg+12PlO	2s → 1p (incl)	Actor: 2nd Person Singular → Goal: 1st Person Plural (Inclusive)	you (one) → you and us	kitha → kithânaw		
2Sg+2PlO	2s → 2p	Actor: 2nd Person Singular → Goal: 2nd Person Plural	you (one) → you (all)	kitha → kithâwaw		
2Sg+3PlO	2s → 3p	Actor: 2nd Person Singular → Goal: 3rd Person Plural	you (one) → them	kitha → withawâw		
2Sg+4Sg/PlO	2s → 4	Actor: 2nd Person Singular → Goal: 3rd Person Singular/Plural (Obviative)	you (one) → another/others	kitha → kotaka/anihi/awitha		
2Sg+5Sg/PlO	2s → 5	Actor: 2nd Person Singular → Goal: 3rd Person Singular/Plural (Further Obviative)	you (one) → yet another/others	kitha → kotaka/nîhi/awitha		
						
3Sg+1SgO	3s → 1s	Actor: 3rd Person Singular → Goal: 1st Person Singular	s/he → me	witha → nitha		
3Sg+2SgO	3s → 2s	Actor: 3rd Person Singular → Goal: 2nd Person Singular	s/he → you (one)	witha → kitha		
3Sg+1PlO	3s → 1p (excl)	Actor: 3rd Person Singular → Goal: 1st Person Plural (Exclusive)	s/he → we (but not you)	witha → nithanân		
3Sg+12PlO	3s → 1p (incl)	Actor: 3rd Person Singular → Goal: 1st Person Plural (Inclusive)	s/he → you and us	witha → kithânaw		
3Sg+2PlO	3s → 2p	Actor: 3rd Person Singular → Goal: 2nd Person Plural	s/he → you (all)	witha → kithâwaw		
3Sg+3PlO	3s → 3p	Actor: 3rd Person Singular → Goal: 3rd Person Plural	s/he → them	witha → withawâw		
3Sg+4Sg/PlO	3s → 4	Actor: 3rd Person Singular → Goal: 3rd Person Singular/Plural (Obviative)	s/he → another/others	witha → kotaka/anihi/awitha		
3Sg+5Sg/PlO	3s → 5	Actor: 3rd Person Singular → Goal: 3rd Person Singular/Plural (Further Obviative)	s/he → yet another/others	witha → kotaka/nîhi/awitha		
						
X+1SgO	X → 1s	Actor: Unspecified → Goal: 1st Person Singular	people → me	(awitha) → nitha		
X+2SgO	X → 2s	Actor: Unspecified → Goal: 2nd Person Singular	people → you (one)	(awitha) → kitha		
X+3SgO	X → 3s	Actor: Unspecified → Goal: 3rd Person Singular	people → him/her	(awitha) → witha		
X+1PlO	X → 1p (excl)	Actor: Unspecified → Goal: 1st Person Plural (Exclusive)	people → us (but not you)	(awitha) → nithanân		
X+12PlO	X → 1p (incl)	Actor: Unspecified → Goal: 1st Person Plural (Inclusive)	people → you and us	(awitha) → kithânaw		
X+2PlO	X → 2p	Actor: Unspecified → Goal: 2nd Person Plural	people → you (all)	(awitha) → kithâwaw		
X+3PlO	X → 3p	Actor: Unspecified → Goal: 3rd Person Plural	people → them	(awitha) → withawâw		
X+4Sg/PlO	X → 4	Actor: Unspecified → Goal: 3rd Person Singular/Plural (Obviative)	people → another/others	(awitha) → kotaka/anihi/awitha		
X+5Sg/PlO	X → 5	Actor: Unspecified → Goal: 3rd Person Singular/Plural (Further Obviative)	people → yet another/others	(awitha) → kotaka/nîhi/awitha		
						
1Pl+1SgO	1p (excl) → 1s	Actor: 1st Person Plural (Exclusive) → Goal: 1st Person Singular	we (but not you) → me	nithanân → nitha		
1Pl+2SgO	1p (excl) → 2s	Actor: 1st Person Plural (Exclusive) → Goal: 2nd Person Singular	we (but not you) → you (one)	nithanân → kitha		
1Pl+3SgO	1p (excl) → 3s	Actor: 1st Person Plural (Exclusive) → Goal: 3rd Person Singular	we (but not you) → him/her	nithanân → witha		
1Pl+12PlO	1p (excl) → 1p (incl)	Actor: 1st Person Plural (Exclusive) → Goal: 1st Person Plural (Inclusive)	we (but not you) → you and us	nithanân → kithânaw		
1Pl+2PlO	1p (excl) → 2p	Actor: 1st Person Plural (Exclusive) → Goal: 2nd Person Plural	we (but not you) → you (all)	nithanân → kithâwaw		
1Pl+3PlO	1p (excl) → 3p	Actor: 1st Person Plural (Exclusive) → Goal: 3rd Person Plural	we (but not you) → them	nithanân → withawâw		
1Pl+4Sg/PlO	1p (excl) → 4	Actor: 1st Person Plural (Exclusive) → Goal: 3rd Person Singular/Plural (Obviative)	we (but not you) → another/others	nithanân → kotaka/anihi/awitha		
1Pl+5Sg/PlO	1p (excl) → 5	Actor: 1st Person Plural (Exclusive) → Goal: 3rd Person Singular/Plural (Further Obviative)	we (but not you) → yet another/others	nithanân → kotaka/nîhi/awitha		
						
12Pl+1SgO	21p (incl) → 1s	Actor: 1st Person Plural (Inclusive) → Goal: 1st Person Singular	you and we → me	kithânaw → nitha		
12Pl+2SgO	21p (incl) → 2s	Actor: 1st Person Plural (Inclusive) → Goal: 2nd Person Singular	you and we → you (one)	kithânaw → kitha		
12Pl+3SgO	21p (incl) → 3s	Actor: 1st Person Plural (Inclusive) → Goal: 3rd Person Singular	you and we → him/her	kithânaw → witha		
12Pl+1PlO	21p (incl) → 1p (excl)	Actor: 1st Person Plural (Inclusive) → Goal: 1st Person Plural (Exclusive)	you and we → you and us	kithânaw → nithanân		
12Pl+2PlO	21p (incl) → 2p (excl)	Actor: 1st Person Plural (Inclusive) → Goal: 2nd Person Plural	you and we → you (all)	kithânaw → kithâwaw		
12Pl+3PlO	21p (incl) → 3p	Actor: 1st Person Plural (Inclusive) → Goal: 3rd Person Plural	you and we → them	kithânaw → withawâw		
12Pl+4Sg/PlO	21p (incl) → 4	Actor: 1st Person Plural (Inclusive) → Goal: 3rd Person Singular/Plural (Obviative)	you and we → another/others	kithânaw → kotaka/anihi/awitha		
12Pl+5Sg/PlO	21p (incl) → 5	Actor: 1st Person Plural (Inclusive) → Goal: 3rd Person Singular/Plural (Further Obviative)	you and we → yet another/others	kithânaw → kotaka/nîhi/awitha		
						
2Pl+1SgO	2p (excl) → 1s	Actor: 2nd Person Plural → Goal: 1st Person Singular	you (all) → me	kithâwaw → nitha		
2Pl+2SgO	2p (excl) → 2s	Actor: 2nd Person Plural → Goal: 2nd Person Singular	you (all) → you (one)	kithâwaw → kitha		
2Pl+3SgO	2p (excl) → 3s	Actor: 2nd Person Plural → Goal: 3rd Person Singular	you (all) → him/her	kithâwaw → witha		
2Pl+1PlO	2p (excl) → 1p (excl)	Actor: 2nd Person Plural → Goal: 1st Person Plural (Exclusive)	you (all) → us (but not you)	kithâwaw → nithanân		
2Pl+12PlO	2p (excl) → 1p (incl)	Actor: 2nd Person Plural → Goal: 1st Person Plural (Inclusive)	you (all) → you and us	kithâwaw → kithânaw		
2Pl+3PlO	2p (excl) → 3p	Actor: 2nd Person Plural → Goal: 3rd Person Plural	you (all) → them	kithâwaw → withawâw		
2Pl+4Sg/PlO	2p (excl) → 4	Actor: 2nd Person Plural → Goal: 3rd Person Singular/Plural (Obviative)	you (all) → another/others	kithâwaw → kotaka/anihi/awitha		
2Pl+5Sg/PlO	2p (excl) → 5	Actor: 2nd Person Plural → Goal: 3rd Person Singular/Plural (Further Obviative)	you (all) → yet another/others	kithâwaw → kotaka/nîhi/awitha		
						
3Pl+1SgO	3p → 1s	Actor: 3rd Person Plural → Goal: 1st Person Singular	they → me	withâwaw → nitha		
3Pl+2SgO	3p → 2s	Actor: 3rd Person Plural → Goal: 2nd Person Singular	they → you (one)	withâwaw → kitha		
3Pl+3SgO	3p → 3s	Actor: 3rd Person Plural → Goal: 3rd Person Singular	they → him/her	withâwaw → witha		
3Pl+1PlO	3p → 1p (excl)	Actor: 3rd Person Plural → Goal: 1st Person Plural (Exclusive)	they → us (but not you)	withâwaw → nithanân		
3Pl+12PlO	3p → 21p (incl)	Actor: 3rd Person Plural → Goal: 1st Person Plural (Inclusive)	they → you and us	withâwaw → kithânaw		
3Pl+2PlO	3p → 2p (excl)	Actor: 3rd Person Plural → Goal: 2nd Person Plural	they → you (all)	withâwaw → kithâwaw		
3Pl+4Sg/PlO	3p → 4	Actor: 3rd Person Plural → Goal: 3rd Person Singular/Plural (Obviative)	they → another/others	withâwaw → kotaka/anihi/awitha		
3Pl+5Sg/PlO	3p → 5	Actor: 3rd Person Plural → Goal: 3rd Person Singular/Plural (Further Obviative)	they → yet another/others	withâwaw → kotaka/nîhi/awitha		
						
4Sg/Pl+1SgO	4 → 1s	Actor: 3rd Person Singular/Plural (Obviative) → Goal: 1st Person Singular	another/others → me	kotaka/anihi/awitha → nitha		
4Sg/Pl+2SgO	4 → 2s	Actor: 3rd Person Singular/Plural (Obviative) → Goal: 2nd Person Singular	another/others → you (one)	kotaka/anihi/awitha → kitha		
4Sg/Pl+3SgO	4 → 3s	Actor: 3rd Person Singular/Plural (Obviative) → Goal: 3rd Person Singular	another/others → him/her	kotaka/anihi/awitha → witha		
4Sg/Pl+1PlO	4 → 1p (excl)	Actor: 3rd Person Singular/Plural (Obviative) → Goal: 1st Person Plural (Exclusive)	another/others → us (but not you)	kotaka/anihi/awitha → nithanân		
4Sg/Pl+12PlO	4 → 21p (incl)	Actor: 3rd Person Singular/Plural (Obviative) → Goal: 1st Person Plural (Inclusive)	another/others → you and us	kotaka/anihi/awitha → kithânaw		
4Sg/Pl+2PlO	4 → 2p (excl)	Actor: 3rd Person Singular/Plural (Obviative) → Goal: 2nd Person Plural	another/others → you (all)	kotaka/anihi/awitha → kithâwaw		
4Sg/Pl+3PlO	4 → 3p	Actor: 3rd Person Singular/Plural (Obviative) → Goal: 3rd Person Plural	another/others → another/others	kotaka/anihi/awitha → withawâw		
4Sg/Pl+5Sg/PlO	4 → 5	Actor: 3rd Person Singular/Plural (Obviative) → 5	another/others → yet another/others	witha/withawâw (ana/aniki) → kotaka/nîhi/awitha		
						
5Sg/Pl+1SgO	5 → 1s	Actor: 3rd Person Singular/Plural (Further Obviative) → Goal: 1st Person Singular	yet another/others → me	kotaka/nîhi/awitha → nitha		
5Sg/Pl+2SgO	5 → 2s	Actor: 3rd Person Singular/Plural (Further Obviative) → Goal: 2nd Person Singular	yet another/others → you (one)	kotaka/nîhi/awitha → kitha		
5Sg/Pl+3SgO	5 → 3s	Actor: 3rd Person Singular/Plural (Further Obviative) → Goal: 3rd Person Singular	yet another/others → him/her	kotaka/nîhi/awitha → witha		
5Sg/Pl+1PlO	5 → 1p (excl)	Actor: 3rd Person Singular/Plural (Further Obviative) → Goal: 1st Person Plural (Exclusive)	yet another/others → us (but not you)	kotaka/nîhi/awitha → nithanân		
5Sg/Pl+12PlO	5 → 21p (incl)	Actor: 3rd Person Singular/Plural (Further Obviative) → Goal: 1st Person Plural (Inclusive)	yet another/others → you and us	kotaka/nîhi/awitha → kithânaw		
5Sg/Pl+2PlO	5 → 2p (excl)	Actor: 3rd Person Singular/Plural (Further Obviative) → Goal: 2nd Person Plural	yet another/others → you (all)	kotaka/nîhi/awitha → kithâwaw		
5Sg/Pl+3PlO	5 → 3p	Actor: 3rd Person Singular/Plural (Further Obviative) → Goal: 3rd Person Plural	yet another/others → another/others	kotaka/nîhi/awitha → withawâw		
5Sg/Pl+4Sg/PlO	5 → 4	Actor: 3rd Person Singular/Plural (Further Obviative) → Goal: 3rd Person Singular/Plural (Obviative)	yet another/others → another/others	kotaka/nîhi/awitha → kotaka/anihi/awitha		
						
A	Animate	Animate	like: asikan, iyiniw, maskwa	tâpiskôc: asikan, iyiniw, maskwa		
AI		Animate Intransitive	like: mîcisow, nipâw	tâpiskôc: mîcisow, nipâw		
						
Arab		Arabic	like: 0, 1, 2, ...	tâpiskôc: 0, 1, 2, ...		
CC		Co-ordinating Conjunction	like: îkwa	tâpiskôc: îkwa		
CS		Subordinate Conjunction	like: mâka	tâpiskôc: mâka		
Cnj	Conjunct	Conjunct	î-/kâ- word	î-/kâ- itwîwin		
Cond		Conditional	when/if something happens	kisik/kîsâspin î-ispayik		
Fut+Cond	Future Conditional	Future conditional	when/if something happens	kisik/kîsâspin î-ispayik		
Core	Core	Core forms	Key forms	âpâpiskahikan-itwîwina		
D		Dependent	like: nôhkom, mîpit	tâpiskôc: nôhkom, mîpit		
Def		Definite	certainly	cikîmâ		
Fut+Def	Future Definite	Future definite tense: ka- (~ ta-)	something will certainly happen	ka-ispayik nîkânihk/cikîmâ		
Del	Delayed	Delayed	later	mwîstas		
Imp+Del		Delayed imperative	command/request that something will happen later	nitotamâkîwin ka-ispayik mwîstâs		
Dem		Demonstrative	like: awa, ôma	tâpiskôc: awa, ôma		
Der/Com	Comitative	Derived comitative	with another person	wîci-		
Der/Dim	Diminutive	Derived diminutive	smaller / younger	 kâ-apisisîhiht / kâ-apisisîhcâhk		
Der/X		Derived unspecified actor				
Dim	Diminutive	Diminutive	smaller / younger	nawac apisîs / ayiwâk osk-âyis		
DimNA	Diminutive	Diminutive	smaller / younger	nawac î-apisîsisit / nawac î-osk-âyiwit		
DimNI	Diminutive	Diminutive	smaller	nawac î-apisâsik		
Dist	Distal	Distal	Over yonder	nîta		
Distr	Distributive	Distributive	among	âkine		
Err/Orth		(Sub-standard form)				
Foc		Focus				
Fut	Future	Future tense	something is happening later on	î-ispayik mwîstas/nîkânihk		
I		Inanimate	like: cîmân, wâwi	tâpiskôc: cîmân, wâwi		
IC	Initial change	Initial change	like: wiyâpamât	tâpiskôc: wiyâpamât		
II		Inanimate Intransitive	like: mîthwâsin, miskwâw	tâpiskôc: mîthwâsin, miskwâw		
INM	Name	Name	like: otôskwanihk	tâpiskôc: otôskwanihk		
Interr	Interrogative	Interrogative	Question	kakwîcihkîmowin		
IPC	Particle	Particle	like: anohc	tâpiskôc: anohc	⚡	
Ipc		Independent Particle	Connecting word	âniskohtâwin-itwîwin	⚡️	https://plainscree.atlas-ling.ca/grammar/words/particles/
IPH	Phrase	Phrase	like: îkosi pitamâ	tâpiskôc: îkosi pitamâ		
IPJ	Interjection	Interjection	like: hay hay	tâpiskôc: hay hay	⚡	
IPN	Prenoun	Prenoun	like: amisko-	tâpiskôc: amisko-	⚡	
IPP	Particle	Particle	like: akâmi-	tâpiskîc: akâmi- 	⚡️	
IPV	Preverb	Preverb	like: pî-	tâpiskôc: pî-	⚡️	
Ipv	Preverb	Preverb	like: pî-	tâpiskôc: pî-	⚡️	
Imm	Immediate	Immediate	now	mîkwâc/kîsac		
Imp	Imperative	Imperative	command/request	nitotamâkîwin		
Imp+Imm		Immediate imperative	command/request that something happens immediately	nitotamâkîwin piko ka-ispayik		
Ind	Independent	Independent	ni-/ki- word	ni-/ki- itwîwin		
Inf	Infinitive	Infinitive form	for something to happen	ka-ispaiyk / ta-ispayik		
Int	Intentional	Intentional	be going to	akâwâtamowin		
Fut+Int	Future Intentional	Future intentional / prospective aspect: wî-	something is going to happen	î-wî-ihkik nîkânihk		
Interj		Interjection	Shouting word	tîpwîwin-itwîwin		
Loc	Locative	Locative	in/on/at / place	itî î-ayâk/î-ayât kîkway / itî î-ayât awiyak		
Med	Medial	Medial	There	anita		
						
N		Noun	Naming word	wîhowin-itwîwin		https://plainscree.atlas-ling.ca/grammar/words/nouns/
N+A	Animate noun	Noun — animate	Naming word — like: asikan, iyiniw, maskwa	wîhowin-itwîwin — tâpiskôc: asikan, iyiniw, maskwa 	🧑🏽	
N+I	Inanimate noun	Noun — inanimate	Naming word — like: cîmân, wâwi	wîhowin-itwîwin — tâpiskôc: cîmân, wâwi	💧	
N+A+D	Dependent animate noun	Noun — dependent animate	Naming word — like: nôhkom	wîhowin-itwîwin — tâpiskôc: nôhkom	👤🧑🏽	
N+I+D	Dependent inanimate noun	Noun — dependent animate	Naming word — like: mîpit	wîhowin-itwîwin — tâpiskôc: mîpit	👤💧	
						
NA-1	NA-1	Regular animate noun stem	like: pahkwîsikan, asikan	tâpiskôc: pahkwîsikan, asikan		
NA-2	NA-2	Vowel-glide animate noun stem	like: kihc-ôkiniy, ayapiy	tâpiskôc: kihc-ôkiniy, ayapiy		
NA-3	NA-3	Consonant-/w/ animate noun stem	like: masinahikanāhtik(w), askihk(w)	tâpiskôc: masinahikanāhtik(w), askihk(w)		
NA-4	NA-4	Single-syllable animate noun stem	like: niska, îsa	tâpiskôc: niska, îsa		
NA-4w	NA-4w	Single-syllable-/w/ animate noun stem	like: wâhkwa, ihkwa	tâpiskôc: wâhkwa, ihkwa		
NA-?	NA-?					
NDA-1	NDA-1	Regular animate dependent noun stem	like: mitâs (-tâs-), mohpan (-ohpan-)	tâpiskôc: mitâs (-tâs-), mohpan (-ohpan-)		
NDA-2	NDA-2	Vowel-glide animate dependent noun stem	like: mitihtikosiy, maskasiy	tâpiskôc: mitihtikosiy, maskasiy		
NDA-3	NDA-3	Consonant-/w/ animate dependent noun stem	like: ninîkihik(w), nîtim(w)	tâpiskôc: ninîkihik(w), nîtim(w)		
NDA-4	NDA-4	Single-syllable animate dependent noun stem	like: nîwa (-îw-)	tâpiskôc: nîwa (-îw-)		
NDA-4w	NDA-4w	Single-syllable-/w/ animate dependent noun stem	like: nîskwa (-îskw-)	tâpiskôc: nîskwa (-îskw-)		
NDA-x	NDA-x					
NDI-1	NDI-1	Regular inanimate dependent noun stem	like: mitîh (-tîh-), mîpit (-îpit-)	tâpiskôc: mitîh (-tîh-), mîpit (-îpit-)		
NDI-2	NDI-2	Consonant-glide inanimate dependent noun stem	like: miskotâkay, mîstakay	tâpiskôc: miskotâkay, mîstakay		
NDI-3	NDI-3	Consonant-/w/ inanimate dependent noun stem	like: miskîsik, mayakask	tâpiskôc: miskîsik, mayakask		
NDI-4	NDI-4	Single-syllable inanimate dependent noun stem	like: mîki, mîwas	tâpiskôc: mîki, mîwas		
NDI-?	NDI-?					
NDI-x	NDI-x					
NI-1	NI-1	Regular inanimate noun stem	like: cîmân, astotin	tâpiskôc: cîmân, astotin		
NI-2	NI-2	Vowel-glide inanimate noun stem	like: mîkisasâkay, oskasâkay	tâpiskôc: mîkisasâkay, oskasâkay		
NI-3	NI-3	Consonant-/w/ inanimate noun stem	like: pahkîkin(w), askîkin(w)	tâpiskôc: pahkîkin(w), askîkin(w)		
NI-4	NI-4	Single-syllable inanimate noun stem	like: wâwi, osk-âyi	tâpiskôc: wâwi, osk-âyi		
NI-5	NI-5	Single-syllable-/w/ inanimate noun stem	like: ôsi, mihko	tâpiskôc: ôsi, mihko		
NI-?	NI-?					
Neg	Negation	Negation	not	nâmoya		
Nonposs	Non-possessed	Non-possessed forms	No ownership	îkâ awiyak kâ-tipîyihtahk		
Num	Numeral	Numeral	Number	akihtâson		
Obv	Obviative	Obviative	another / others	kotaka / anihi / awitha		
Poss	Possession	Possessed forms	whose / whom something belongs to	tipîyihcikîwin / awîni (kâ-tipîyihtahk)		
Pers	Person	Person	Person	iyiniw		
PV		Preverb				
PV/acici	Preverb: acici-		head down; upside down			
PV/ahcahkowi	Preverb: ahcahkowi-		spiritual			
PV/ahci	Preverb: âhci-		to a different place			
PV/ahkami	Preverb: âhkami-		persistently, untiringly, unfailingly, unceasingly, unwaveringly; keep on, persevere			
PV/akawaci	Preverb: akâwâci-		wishfully			
PV/ako	Preverb: âkô-		covered, shielded			
PV/akoci	Preverb: akoci-		hanging			
PV/akwa	Preverb: âkwâ-		quite a lot; well on its way, in progress of time			
PV/ami	Preverb: âmi-		almost			
PV/aniski	Preverb: âniski-		succession, extension			
PV/apihci	Preverb: âpihci-		halfway			
PV/apihta	Preverb: âpihtâ-		half			
PV/apihta-kisikawi	Preverb: âpihtâ-kîsikâwi-		at noon			
PV/apihtawi	Preverb: âpihtawi-		half			
PV/apisci	Preverb: apisci-		small, little			
PV/apisi	Preverb: apisi-		small, tiny			
PV/apisisi	Preverb: apisîsi-		small			
PV/asawi	Preverb: âsawi-		in passing something on			
PV/ase	Preverb: âsî-		see: asî-			
PV/aseya	Preverb: asîya-		in a group			
PV/asowi	Preverb: âsowi-		in turn, in succession			
PV/aste	Preverb: âstî-		ceasing; quit			
PV/ata	Preverb: âta-		although, in vain			
PV/ati	Preverb: ati-		begin to, beginning; progressively, proceed to, going on, progressing; on the way			
PV/atimi	Preverb: atimi-		going away from speaker, towards addressee			
PV/ayamihawi	Preverb: ayamihâwi-		prayer, pertaining to Christian prayer; of the Christian religion, of church			
PV/ayamihewi	Preverb: ayamihîwi-		of the Christian religion, of church			
PV/ayaso	Preverb: ayâsô-		a little here and there			
PV/ayi	Preverb: ayi-		ah, hm			
PV/ayici	Preverb: âyîci-		firmly, tightly			
PV/cipehtako	Preverb: cîpîhtako-		blue, greyish blue, grey			
PV/î	Preverb: î-		grammatical preverb: complementizer; defines a changed conjunct clause			
PV/ikate	Preverb: îkatî-		aside, off to one side			
PV/isi	Preverb: isi-		so, this way, thus, thither, such			
PV/isko	Preverb: isko-		so far, to such an extent			
PV/ispi	Preverb: ispi-		then, when			
PV/ispihci	Preverb: ispîhci-		meanwhile, beforehand			
PV/itahto	Preverb: itahto-		in such number			
PV/ka	Preverb: ka-		grammatical preverb: future will, shall; infinitive; optative ought, should			
PV/ka-ki	Preverb: ka-kî-		can, be able to; may; should, ought to			
PV/kaa	Preverb: kâ-		grammatical preverb; defines a changed conjunct clause; often a relative clause, i.e. who, which			
PV/kah	Preverb: kâh-		would, ought to; likely to			
PV/kah-kape	Preverb: kâh-kapî-		all the time			
PV/kakepaci	Preverb: kakîpâci-		stupidly			
PV/kakwahyaki	Preverb: kakwâhyaki-		greatly, extremely, overwhelmingly; with startled surprise			
