FST TAG	LINGUISTIC (SHORT)	LINGUISTIC (LONG)	ENGLISH	NÊHIYAWÊWIN	EMOJI	LINK
5Sg/Pl+2SgO	5 → 2s	Actor: 3rd Person Singular/Plural (Further Obviative) → Goal: 2nd Person Singular	yet another/others → you (one)	kotaka/nêhi/awiya → kiya		
5Sg/Pl+3SgO	5 → 3s	Actor: 3rd Person Singular/Plural (Further Obviative) → Goal: 3rd Person Singular	yet another/others → him/her	kotaka/nêhi/awiya → wiya		
5Sg/Pl+1PlO	5 → 1p (excl)	Actor: 3rd Person Singular/Plural (Further Obviative) → Goal: 1st Person Plural (Exclusive)	yet another/others → us (but not you)	kotaka/nêhi/awiya → niyanân		
5Sg/Pl+12PlO	5 → 21p (incl)	Actor: 3rd Person Singular/Plural (Further Obviative) → Goal: 1st Person Plural (Inclusive)	yet another/others → you and us	kotaka/nêhi/awiya → kiyânaw		
5Sg/Pl+2PlO	5 → 2p (excl)	Actor: 3rd Person Singular/Plural (Further Obviative) → Goal: 2nd Person Plural	yet another/others → you (all)	kotaka/nêhi/awiya → kiyawâw		
5Sg/Pl+3PlO	5 → 3p	Actor: 3rd Person Singular/Plural (Further Obviative) → Goal: 3rd Person Plural	yet another/others → another/others	kotaka/nêhi/awiya → wiyawâw		
5Sg/Pl+4Sg/PlO	5 → 4	Actor: 3rd Person Singular/Plural (Further Obviative) → Goal: 3rd Person Singular/Plural (Obviative)	yet another/others → another/others	kotaka/nêhi/awiya → kotaka/anihi/awiya		
						
A	Animate	Animate	like: asikan, iyiniw, maskwa	tâpiskôc: asikan, iyiniw, maskwa		
AI		Animate Intransitive	like: mîcisow, nipâw	tâpiskôc: mîcisow, nipâw		
						
Arab		Arabic	like: 0, 1, 2, ...	tâpiskôc: 0, 1, 2, ...		
CC		Co-ordinating Conjunction	like: êkwa	tâpiskôc: êkwa		
CS		Subordinate Conjunction	like: mâka	tâpiskôc: mâka		
Cnj	Conjunct	Conjunct	ê-/kâ- word	ê-/kâ- itwêwin		
Cond		Conditional	when/if something happens	kisik/kîsâspin ê-ispayik		
Fut+Cond	Future Conditional	Future conditional	if/when something happens	kîspin/ispîhk ispayiki		
Core	Core	Core forms	Key forms	âpâpiskahikan-itwêwina		
D		Dependent	like: nôhkom, mîpit	tâpiskôc: nôhkom, mîpit		
Def		Definite	certainly	cikêmâ		
Fut+Def	Future Definite	Future definite tense: ka- (~ ta-)	something will certainly happen	ka-ispayin nîkânihk		
Del	Delayed	Delayed	later	mwêstas		
Imp+Del		Delayed imperative	command/request that something will happen later	nitotamâkêwin ka-ispayik mwêstâs		
Dem		Demonstrative	like: awa, ôma	tâpiskôc: awa, ôma		
						
Der/Com	Comitative	Derived comitative	with another person	wîci-		
Der/Dim	Diminutive	Derived diminutive	smaller / younger	 kâ-apisisîhiht / kâ-apisisîhcâhk		
Der/Rflx	Reflexive	Derived reflexive	oneself	 kâ-apisisîhiht / kâ-apisisîhcâhk		
Der/Rcpr	Reciprocal	Derived reciprocal	one another	 kâ-apisisîhiht / kâ-apisisîhcâhk		
Der/Caus	Causative	Derived causative	make someone do something	 kâ-apisisîhiht / kâ-apisisîhcâhk		
Der/Bnf	Benefactive	Derived benefactive	for the benefit of another	 kâ-apisisîhiht / kâ-apisisîhcâhk		
Der/Pass	Passive	Derived passive	highlighting the goal	 kâ-apisisîhiht / kâ-apisisîhcâhk		
Der/Antip	Antipassive	Derived antipassive	highlighting the actor	 kâ-apisisîhiht / kâ-apisisîhcâhk		
Der/Dtr	Detransitive	Derived detransitive	unhighlighting the goal	 kâ-apisisîhiht / kâ-apisisîhcâhk		
Der/MedPass	Medio-Passive	Derived medio-passive	unhighlighting the goal	 kâ-apisisîhiht / kâ-apisisîhcâhk		
Der/Trans	Transitive	Derived transitive	adding the goal	 kâ-apisisîhiht / kâ-apisisîhcâhk		
Der/Nom	Nominalization (I)	Derived nominalization (Type I)	action word for action	 kâ-apisisîhiht / kâ-apisisîhcâhk		
Der/Nom2	Nominization (II)	Derived nominalization (Type II)	word for action	 kâ-apisisîhiht / kâ-apisisîhcâhk		
Der/Ins	Instrument (I)	Derived instrument (Type I)	tool used in action	 kâ-apisisîhiht / kâ-apisisîhcâhk		
Der/Ins2	Instrument (II)	Derived instrument (Type II)	tool used in action	 kâ-apisisîhiht / kâ-apisisîhcâhk		
Der/Ins3	Instrument (III)	Derived instrument (Type III)	tool used in action	 kâ-apisisîhiht / kâ-apisisîhcâhk		
Der/Age	Agent	Derived agent	who does something	 kâ-apisisîhiht / kâ-apisisîhcâhk		
Der/Goa	Goal	Derived goal	object of action	 kâ-apisisîhiht / kâ-apisisîhcâhk		
Der/Ex	Existential (I)	Derived existential (Type I)	there/it/s/he is something	 kâ-apisisîhiht / kâ-apisisîhcâhk		
Der/Ex2	Existential (II)	Derived existential (Type II)	there/it/s/he is something	 kâ-apisisîhiht / kâ-apisisîhcâhk		
Der/Poss	Possessor	Derived possessor	who possesses something	 kâ-apisisîhiht / kâ-apisisîhcâhk		
Der/Manuf	Manufacture	Derived manufacture	result of action	 kâ-apisisîhiht / kâ-apisisîhcâhk		
Der/Hab	Habitual	Derived habitual	something that is done often	 kâ-apisisîhiht / kâ-apisisîhcâhk		
Der/X		Derived unspecified actor				
						
Dim	Diminutive	Diminutive	smaller / younger	nawac apisîs / ayiwâk osk-âyis		
DimNA	Diminutive	Diminutive	smaller / younger	nawac ê-apisîsisit / nawac ê-osk-âyiwit		
DimNI	Diminutive	Diminutive	smaller	nawac ê-apisâsik		
Dist	Distal	Distal	Over yonder	nêta		
Distr	Distributive	Distributive	among	âkine		
Err/Orth		(Sub-standard form)				
Foc		Focus				
Fut	Future	Future tense	something is happening later on	nîkânihk/mwêstas ê-ka-ispayik		
I		Inanimate	like: cîmân, wâwi	tâpiskôc: cîmân, wâwi		
IC	Initial change	Initial change	like: wiyâpamât	tâpiskôc: wiyâpamât		
II		Inanimate Intransitive	like: miywâsin, mihkwâw	tâpiskôc: miywâsin, mihkwâw		
INM	Name	Name	like: otôskwanihk	tâpiskôc: otôskwanihk		
Interr	Interrogative	Interrogative	Question	kakwêcihkêmowin		
IPC	Particle	Particle	like: anohc	tâpiskôc: anohc	⚡	
Ipc		Independent Particle	Connecting word	âniskohtâwin-itwêwin	⚡️	https://plainscree.atlas-ling.ca/grammar/words/particles/
IPH	Phrase	Phrase	like: êkosi pitamâ	tâpiskôc: êkosi pitamâ		
IPJ	Interjection	Interjection	like: hay hay	tâpiskôc: hay hay	⚡	
IPN	Prenoun	Prenoun	like: amisko-	tâpiskôc: amisko-	⚡	
IPP	Particle	Particle	like: akâmi-	tâpiskîc: akâmi- 	⚡️	
IPV	Preverb	Preverb	like: pê-	tâpiskôc: pê-	⚡️	
Ipv	Preverb	Preverb	like: pê-	tâpiskôc: pê-	⚡️	
Imm	Immediate	Immediate	now	sêmâk		
Imp	Imperative	Imperative	command/request	nitotamâkêwin		
Imp+Imm		Immediate imperative	command/request that something happens immediately	nitotamâkêwin piko ka-ispayik		
Ind	Independent	Independent	ni-/ki- word	ni-/ki- itwêwin		
Inf	Infinitive	Infinitive form	for something to happen	ka-ispayik / ta-ispayik		
Int	Intentional	Intentional	be going to	akâwâtamowin		
Fut+Int	Future Intentional	Future intentional / prospective aspect: wî-	something is going to happen	nîkânihk ê-wî-ihkik		
Interj		Interjection	Shouting word	têpwêwin-itwêwin		
Loc	Locative	Locative	in/on/at / place	itê ê-ayâk/ê-ayât kîkway / itê ê-ayât awiyak		
Med	Medial	Medial	There	anita		
						
N		Noun	Naming word	wîhowin-itwêwin		https://plainscree.atlas-ling.ca/grammar/words/nouns/
N+A	Animate noun	Noun — animate	Naming word — like: asikan, iyiniw, maskwa	wîhowin-itwêwin — tâpiskôc: asikan, iyiniw, maskwa 	🧑🏽	
N+I	Inanimate noun	Noun — inanimate	Naming word — like: cîmân, wâwi	wîhowin-itwêwin — tâpiskôc: cîmân, wâwi	💧	
N+D+A	Dependent animate noun	Noun — dependent animate	Naming word — like: nôhkom	wîhowin-itwêwin — tâpiskôc: nôhkom	👤🧑🏽	
N+D+I	Dependent inanimate noun	Noun — dependent animate	Naming word — like: mîpit	wîhowin-itwêwin — tâpiskôc: mîpit	👤💧	
						
NA-1	NA-1	Regular animate noun stem	like: pahkwêsikan, asikan	tâpiskôc: pahkwêsikan, asikan		
NA-2	NA-2	Vowel-glide animate noun stem	like: kihc-ôkiniy, ayapiy	tâpiskôc: kihc-ôkiniy, ayapiy		
NA-3	NA-3	Consonant-/w/ animate noun stem	like: masinahikanāhtik(w), askihk(w)	tâpiskôc: masinahikanāhtik(w), askihk(w)		
NA-4	NA-4	Single-syllable animate noun stem	like: niska, êsa	tâpiskôc: niska, êsa		
NA-4w	NA-4w	Single-syllable-/w/ animate noun stem	like: wâhkwa, ihkwa	tâpiskôc: wâhkwa, ihkwa		
NA-?	NA-?					
NDA-1	NDA-1	Regular animate dependent noun stem	like: mitâs (-tâs-), mohpan (-ohpan-)	tâpiskôc: mitâs (-tâs-), mohpan (-ohpan-)		
NDA-2	NDA-2	Vowel-glide animate dependent noun stem	like: mitihtikosiy, maskasiy	tâpiskôc: mitihtikosiy, maskasiy		
NDA-3	NDA-3	Consonant-/w/ animate dependent noun stem	like: ninîkihik(w), nîtim(w)	tâpiskôc: ninîkihik(w), nîtim(w)		
NDA-4	NDA-4	Single-syllable animate dependent noun stem	like: nîwa (-îw-)	tâpiskôc: nîwa (-îw-)		
NDA-4w	NDA-4w	Single-syllable-/w/ animate dependent noun stem	like: nîskwa (-îskw-)	tâpiskôc: nîskwa (-îskw-)		
NDA-x	NDA-x					
NDI-1	NDI-1	Regular inanimate dependent noun stem	like: mitêh (-têh-), mîpit (-îpit-)	tâpiskôc: mitêh (-têh-), mîpit (-îpit-)		
NDI-2	NDI-2	Consonant-glide inanimate dependent noun stem	like: miskotâkay, mêstakay	tâpiskôc: miskotâkay, mêstakay		
NDI-3	NDI-3	Consonant-/w/ inanimate dependent noun stem	like: miskîsik, mayakask	tâpiskôc: miskîsik, mayakask		
NDI-4	NDI-4	Single-syllable inanimate dependent noun stem	like: mîki, mîwas	tâpiskôc: mîki, mîwas		
NDI-?	NDI-?					
NDI-x	NDI-x					
NI-1	NI-1	Regular inanimate noun stem	like: cîmân, astotin	tâpiskôc: cîmân, astotin		
NI-2	NI-2	Vowel-glide inanimate noun stem	like: mîkisasâkay, oskasâkay	tâpiskôc: mîkisasâkay, oskasâkay		
NI-3	NI-3	Consonant-/w/ inanimate noun stem	like: pahkêkin(w), askêkin(w)	tâpiskôc: pahkêkin(w), askêkin(w)		
NI-4	NI-4	Single-syllable inanimate noun stem	like: wâwi, osk-âyi	tâpiskôc: wâwi, osk-âyi		
NI-5	NI-5	Single-syllable-/w/ inanimate noun stem	like: ôsi, mihko	tâpiskôc: ôsi, mihko		
NI-?	NI-?					
Neg	Negation	Negation	not	nâmoya		
Nonposs	Non-possessed	Non-possessed forms	No ownership	êkâ awiyak kâ-tipêyihtahk  		
Stem	Stem	Stem	Stem	ocêpihk		
Num	Numeral	Numeral	Number	akihtâson		
Obv	Obviative	Obviative	another / others	kotaka / anihi / awiya		
Poss	Possession	Possessed forms	whose / whom something belongs to	tipêyihcikêwin / awîni (kâ-tipêyihtahk)		
Pers	Person	Person	Person	iyiniw		
PV		Preverb				
PV/acici	Preverb: acici-		head down; upside down			
PV/ahcahkowi	Preverb: ahcahkowi-		spiritual			
PV/ahci	Preverb: âhci-		to a different place			
