Query,Nêhiyawêwin 1,Nêhiyawêwin 2,Nêhiyawêwin 3
smoke,kaskâpahtêw
steal,kimotiw,kimohtiw
suggest,kakêskihkêmow,kakêskimêw,sîhkimêw
sweet,wîhki,sîwâw,sîwisiw
tail,misoy
thick,kispakisiw,kispakâw
burn,pikihtêw
hide,kâsôw
tooth,mîpit
uncover,môskinam,pâskipayiw,pâskinam
understand,nisitohtam
water,nipiy
way,isi,tôtamowin,mêskanaw
wind,yôtin
wish,nôhtê,akawâtêw,pitanê
work out,sêsâwi,pihkohtâw,kaskihtamâsow
into,pîhtokwêmon
answer,naskomêw,naskwêwasimêw
move,âhcihêw,âhcipayiw
gym,mêtawêwikamik
lake,sâkahikan
juice,sîwâpoy
hospital,âhkosîwikamik
sock,asikan
pail,askihk
potato,askipwâwi
doll,awâsisihkân
tobacco,ciscêmâs,cistêmâw
fork,cîscahikanis
girl,iskwêsis
fish,kinosêw
bacon,kohkôsiwiyin
corn,mahtâmin
pencil,masinahikanâhtik
slate,masinahikanâpisk
pen,masinahikanâpiskos
tea,maskihkîwâpoy,tiy,nihtiy
bear,maskwa,mistah-âya,kaskitêwi-maskwa
glass,minihkwâcikan,minihkwêwiyâkanis
cup,minihkwâcikanis
cat,minôs
pants,mitâs
feather,mêkwan
road,mêskanaw
soup,mîcimâpoy
bead,mîkis
knife,môhkomân
little knife,môhkomânis
moose,môswa
toboggan,napakâhtik
frying pan,napwên
goose,niska
boy,nâpêsis
Cree person,nêhiyaw
tomato,okiniy
little carrot,oskâcâskos
carrot,oskâtâsk
nut,pakân
pepper,papêskomina
apple,picikwâs
ball,pâkâhtowân
sun,pîsim
skunk,sikâk
sugar,sîwinikan
money,sôniyâw
butter,tohtôsâpoy
milk,tohtôsâpoy
fur,wayân
dish,wiyâkan
banana,wâkâs
rabbit,wâpos
egg,wâwi
little spoon,êmihkwânis
brings it,pêtawêw,pêtâw
store,atâwêwikamik
pig,kohkôs
shoe,maskisin
horse,misatim,mistatim
cow,mostos
restaurant,mîcisowikamik
duck,sîsîp
bank,sôniyâwikamik
chair,têhtapiwin
spoon,êmihkwân
drinks,minihkwêw
right,tâpwê
puppy,acimosis
land,askiy
skin,masakay
fingernail,maskasiy
finger,micihcîs
nipple,micohcôsimis
face,mihkwâkan
ear,mihtawakay
little foot,misicis
foot,misit
arm,mispiton
head,mistikwân
body,miyaw
my foot,nisit
my head,nistikwân
oh,ka
again,kîhtwâm
where,tânitê
why,tânêhki
far away,wâhyaw
soon,wîpac
son,nikosis
aunt,nikâwîs,nisikos,nitôsis
mother's sister,nikâwîs,nitôsis
mother,nikâwiy
grandfather,nimosôm
husband,ninâpêm
parents,ninêkihikwak
younger sibling,nisîmis
daughter,nitânis
friend,nitôtêm
father,nôhtâwiy
sibling,nîtisân,nimis,nistês
brother,nistês,nîtisân,nisîmis
older brother,nistês
sister,nimis,nîtisân,nisîmis
older sister,nimis
grandmother,nôhkom
town,ôcênâsis,ôcênâs
bannock,pahkwêsikan
duckling,sîsîpisis
raisin,sôminis
city,ôtênaw
works,atoskêw
named,isiyihkâsow,isiyihkâcikâtêw
names,isiyihkâsowina,isiyihkâsow,isiyihkâcikâtêw
goes,itohtêw
says,itwêw
knows,kiskêyihtam,kiskêyimêw,nisitawêyimêw
wants it,nitawêyihtam
wants him,nitawêyimêw
wants her,nitawêyimêw
wants them,nitawêyimêw
talks,pîkiskwâtêw
sees it,wâpahtam,wâpamêw
sees him,wâpamêw
sees her,wâpamêw
see it,wâpahtam,wâpamêw
see him,wâpamêw
see her,wâpamêw
lives at,wîkiw
a little,apisîs
listen,mâ
miracle,mâmaskâc
a while,pitamâ
gee,wahwâ
gosh,wâcistakâc
although,âta
very true,tâpwe pikwâni
piglet,kohkôsis
tipi,mîkiwâhp
Cree language,nêhiyawêwin
queen,okimâskwêw
Frenchman,wêmistikôsiw
home,wîkiwin
English language,âkayâsîmowin
hitch,âniskamân
diaper,âsiyân
feels,itamahcihow
learns,kiskinwahamâkosiw
feels good,miyomahcihow
understands,nisitohtam,nisitohtawêw
listens,nitohtam
speaks Cree,nêhiyawêw
tired,nêstosiw
hungry,nôhtêhkatêw
sleepy,nôhtêhkwasiw
hat,astotin
shorts,atâmicâsis,kîskicâsis
scarf,kîsowahpison
book,masinahikan
kitten,minôsis
pony,miscacimosis
jacket,miskotâkay
river,sîpiy
bowl,wiyâkanis
dawn,pêtâpan,wâpan
wheel,wâsakâpayîs
green,askihtakosiw,askihtakwan
high,ispâw
fast,kakwêyâhow
clean,kanâtan,kanâtisiw
beautiful,katawasisin,katawasisiw
strong,maskawisîw,maskihkîwimâkwan
nice,miyosiw
good,miywâsin
ugly,mâyâtan,mâyâtisiw
orange,osâwisiw,osâwâw,osâwâs
grey,pihkonâkosiw,pihkonâkwan
broken,pîkopayin,pîkopayiw
blue,sîpihkosiw,sîpihkwâw
wine red,watôkimihkosiw,watôkimihkwâw
likes the taste,wîhkistêw,wîhkistam
dirty,wiyipâtan,wiyipâtisiw
pink,wâpikwanîwinâkosiw,wâpikwanîwinâkwan
white,wâpiskisiw,wâpiskâw
yellow,wâposâwisiw,wâposâwâw
delicious,wîhkasin,wîhkitisiw
purple,wîpi-sîpihkosiw,wîpi-sîpihkwâw
brown,wîposâwâw,wîpôsâwisiw
slow,yikicikâwîmakan,yîkicikâwîw
go away,awas,awasitik
just kidding,cwâ
wait,cêskwa
near,cîki
that's okay,kiyâm
ok,kiyâm
always,kâkikê
don't,kâya
let's,mahti
right now,mêkwâc,sêmâk
already,âsay
come here,âstam,âstamitik
okay now,âw
never mind,ekosi kîyâm
look over there,itâpi nêtê
that's it for now,êkosi pita
coffee,pihkahcêwâpôs,pihkahtêwâpoy
meat,wiyâs
sit down,apiw
has,ayâw,ayâwêw
looks,itâpiw,kitâpahtam,kitâpamêw
cooks,kîsisam,kîsiswêw,piminawasow
likes,miywêyihtam
eats,mowêw,mîciw
bakes,nawacîw
hits,pakamaham,pakamahwêw
gets up,pasikôw
smiles,pâhpisiw
hears,pêhtawêw
gives a ride,pôsihêw
rides,pôsiw
blows on,pôtâtam,pôtâtêw
leaves,sipwêhtêw,nakasiwêw,nakatam
touches,sâminam,sâminêw
sits on,têhtapiw
gets up from bed,waniskâw
moves,waskawîw
goes outside,wayawîw
since,aspin
almost,kêkâc
and a half,mîna âpihtâw
before,pâmwayês
half,âpihtaw
number,akihtâson
minute,cipahikanis
stove,kotawânâpisk
clock,pîsimohkân
hour,tipahikan
counts,akihcikêw,akihtam,akimêw
morning,kîkisêpâyâw
evening,otâkosin
waits,pêhow
noon,âpihtâ-kîsikâw
midnight,âpihtâ-tipiskâw
amount,itahto
dollar,nêwopêhikan
penny,pîwâpiskos
safety pin,sakâskwahon
it is Sunday,ayamihâwi-kîsikâw
weather is,isiwêpan
years old,itahtopiponêw
costs,itakihtêw,itakisow
Saturday,nikotwâsiko-kîsikâw
Wednesday,nisto-kîsikâw
Friday,niyânano-kîsikâw
Thursday,nêwo-kîsikâw
Tuesday,nîso-kîsikâw
wins,otahowêw
Monday,pôn-âyamihêwi-kîsikâw
earns,sôniyâhkêw
earns money,sôniyâhkêw
clear sky,wâsêskwan
little star,acâhkos
beaver,amisk
paddle,apoy
stone,asiniy
star,acâhkos,atâhk
frog,ayîkis
snow,kôna
tree,mistik,mîtos
wood,mihta
pipe,ospwâkan
welfare worker,otasahkêw
policeman,simâkan,simâkanis
muskrat,wacask
elk,wâwâskêsiw
tries,kocihtâw,kocihêw,kocîw
gets,nâtam,nâtêw
brings,pêsiwêw,pêtâw
person,ayisiyiniw
beer,iskwêsisâpoy,iskwêsisihkânâpoy
prays,ayamihâw
runs,pimipahtâw
calls,têpwêw
speaks English,âkayâsîmow
snake,kinêpik
puts down,ahêw,astâw
takes,itohtahêw,itohtatâw
picks up over distance,naskwênam,naskwênêw
picks up,otinam,otinêw
breaks,pîkonam,pîkonêw
carries,tahkonam,tahkonêw
the,awa,ôma,ana
a,pêyak,âtiht
an,pêyak,âtiht
able,nihtâ,nahtâ,kaskihtâw
permit,pakitinam,pakitinêw,pakitinikâtêw
allow,pakitinam,pakitinêw,pakitinikâtêw
walk,nitawi,itohtêw,pimohtêw
own,ayâw,ayawêw,tipêyimêw
possess,ayâw,ayawêw,tipêyimêw
sees,wâpamêw,wâpiw,wâpahtam
eat,mîcisow,mîciw,mowêw
happy birthday,miyo-tipiska
thank you,ay-hay,hay-hay,kinanâskomitin
welcome,tatawâw
'horse',misatim,mistatim
"""horse""",misatim,mistatim
beaverberry,amiskomin,amiskominak
beaverberries,amiskominak,amiskomin
beaver-berry,amiskomin,amiskominak
beaver-berries,amiskominak,amiskomin
beaver berry,amiskomin,amiskominak
beaver berries,amiskominak,amiskomin
berries,mînisa,mînis
berry,mînis,mînisa
berri,mînis,mînisa
stove pipe,okohtaskwahikan
stove-pipe,okohtaskwahikan
stovepipe,okohtaskwahikan
northern lights,wâwâhtêwa,kâ-nîmihitocik,cîpayak kâ-nîmihitocik
in the area,cîkâhtaw
bread,pahkwêsikan
yellow hat,osâwastotin
sleep,nipâw
nîminâniwan,nîminâniwan,nîmiw
I love you,kisâkihitin
usual,mâna
good morning,miyo-kîkisêpâyâw
good bye,ekosi mâka 
goodbye,ekosi mâka 
work together,mâmawi-isîhcikêwin
working together,mâmawi-isîhcikêwin
work togeth,mâmawi-isîhcikêwin
Cree,nêhiyaw,nêhiyawêwin
Edmonton,amiskwaciy-wâskahikan
edmonton,amiskwaciy-wâskahikan
hill,waciy,ispatinaw
beaver hill,natimîwiyiniwak,amiskwacîwiyiniwak
beaver hills,natimîwiyiniwak,amiskwacîwiyiniwak
Calgary,otôskwanihk
calgary,otôskwanihk
car,sêhkêpayîs
telling a story,âcimêw,âcimow
on water,nipîhk
hello,tânisi
difficult thing,âyiman
many snakes,kinêpikoskâw
there are many snakes,kinêpikoskâw
dances,nîmiw,nîmihitow
dancing time,nîminâniwan,nîmiw
go to bed,mâci-nipa
Merry Christmas,miyo-manitowi-kîsikânisik
merry christmas,miyo-manitowi-kîsikânisik
i see you,kiwâpamitin
he sees him,wâpamêw
she sees him,wâpamêw
starblanket,atâhkakohp,acâhkosa kâ-otakohpit
star blanket,atâhkakohp,acâhkosa kâ-otakohpit
being taught,kiskinwahamâkosiw
they see us,niwâpamikonânak,kiwâpamikonawak
